question_title,question_order,name,model_tag,tags,type,mean,median,std,sem,ci_95
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,p305_126_mic2_0_noisy-enhanced-100p.wav,synthetic,p305_126_mic2_0_noisy.wav;female;synthetic,A,4.2,5.0,1.166,0.583,1.619
Attending **ONLY to the BACKGROUND (noise or other speakers' voices)**, select the category which best describes the sample you just heard.,0,Jacek_Samsung_M31_v2.wav,not_synthetic,Jacek_Samsung_M31_v2.wav;male;not_synthetic,A,1.2,1.0,0.4,0.2,0.555
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,DDS_m4_script4_clean_20_livingroom1_Uber_ch6.wav,not_synthetic,DDS_m4_script4_clean_20_livingroom1_Uber_ch6.wav;male;not_synthetic,A,3.6,4.0,0.49,0.245,0.68
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,youtube2-enhanced-100p.wav,not_synthetic,youtube2.wav;male;not_synthetic,A,4.8,5.0,0.4,0.2,0.555
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,DDS_f10_script2_clean_35_office1_Uber_ch3-enhanced-100p.wav,not_synthetic,DDS_f10_script2_clean_35_office1_Uber_ch3.wav;female;not_synthetic,A,5.0,5.0,0.0,0.0,0.0
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,karol_1-enhanced-100p.wav,not_synthetic,karol_1.wav;male;not_synthetic,A,4.2,5.0,0.98,0.49,1.36
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,DDS_m10_script5_clean_26_livingroom1_iPad_ch1.wav,not_synthetic,DDS_m10_script5_clean_26_livingroom1_iPad_ch1.wav;male;not_synthetic,A,4.2,4.0,0.748,0.374,1.039
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,DDS_m7_script4_clean_13_confroom1_Marantz_ch3.wav,not_synthetic,DDS_m7_script4_clean_13_confroom1_Marantz_ch3.wav;male;not_synthetic,A,5.0,5.0,0.0,0.0,0.0
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,DDS_f7_script5_clean_37_waitingroom1_Marantz_ch6-enhanced-100p.wav,not_synthetic,DDS_f7_script5_clean_37_waitingroom1_Marantz_ch6.wav;female;not_synthetic,A,4.8,5.0,0.4,0.2,0.555
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,Jacek_Audacity_v3-enhanced-100p.wav,not_synthetic,Jacek_Audacity_v3.wav;male;not_synthetic,A,1.4,1.0,0.49,0.245,0.68
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,p238_421_mic1_0_noisy.wav,synthetic,p238_421_mic1_0_noisy.wav;female;synthetic,A,1.4,1.0,0.49,0.245,0.68
